zona,precos,quartos,areas
norte,2990.0,3,475
norte,980000.0,2,55
norte,1700.0,2,58
norte,1350.0,,28
norte,1000.0,3,55
norte,1100.0,2,46
norte,1650.0,2,45
norte,7500.0,3,151
norte,1100.0,2,50
norte,1200.0,1,70
norte,2200.0,,60
norte,1400.0,3,74
norte,1840.0,3,117
norte,3500.0,4,158
norte,3179.0,3,230
norte,1940.0,2,62
norte,2000.0,3,90
norte,1900.0,2,90
norte,1830.0,2,75
norte,1300.0,2,65
norte,1649.0,2,50
norte,1700.0,2,52
norte,2000.0,3,124
norte,1390.0,1,59
norte,1710.0,2,63
norte,3080.0,3,120
norte,1100.0,1,40
norte,1400.0,2,48
norte,1600.0,2,106
norte,820000.0,1,40
norte,2058.0,3,160
norte,3500.0,3,172
norte,1050.0,2,58
norte,1590.0,3,60
norte,1100.0,1,40
norte,1210.0,1,55
norte,1500.0,2,71
norte,1300.0,2,62
norte,1370.0,2,53
norte,2920.0,3,90
norte,1300.0,2,62
norte,1715.0,2,67
norte,1550.0,2,62
norte,1250.0,2,63
norte,3190.0,2,65
norte,1700.0,3,78
norte,3000.0,3,96
norte,2500.0,2,85
norte,2297.0,3,60
norte,2500.0,2,250
norte,4400.0,3,79
norte,2000.0,2,278
norte,2300.0,2,50
norte,4400.0,6,190
norte,1870.0,3,66
norte,1600.0,2,48
norte,1650.0,3,70
norte,1431.0,2,52
norte,1430.0,3,56
norte,880000.0,3,62
norte,1700.0,3,72
norte,1340.0,1,34
norte,1330.0,1,34
norte,2200.0,2,64
norte,3000.0,2,150
norte,2200.0,2,52
norte,1680.0,1,43
norte,1430.0,2,52
norte,1650.0,2,70
norte,4400.0,2,940
norte,1280.0,1,34
norte,1290.0,1,34
norte,1320.0,2,58
norte,2000.0,2,64
norte,3900.0,4,182
norte,1150.0,1,35
norte,800000.0,1,36
norte,1662.0,1,20
norte,3000.0,1,42
norte,1340.0,2,52
norte,1600.0,2,90
norte,4196.0,3,217
norte,2500.0,3,176
norte,2244.0,3,87
norte,3000.0,2,90
norte,1665.0,2,140
norte,2300.0,2,72
norte,1900.0,2,100
norte,1430.0,1,80
norte,1900.0,2,50
norte,1500.0,1,105
norte,1870.0,1,41
norte,2100.0,4,220
norte,2660.0,3,100
norte,1700.0,2,65
norte,3400.0,2,70
norte,3800.0,2,75
norte,1720.0,2,51
norte,1720.0,2,37
norte,2060.0,2,96
norte,1410.0,2,70
norte,1980.0,2,65
norte,2300.0,1,49
norte,1190.0,2,80
norte,1500.0,2,40
norte,2330.0,3,77
norte,1350.0,2,100
norte,1650.0,2,85
norte,1655.0,2,53
norte,2130.0,2,57
norte,1700.0,2,50
norte,1070.0,2,60
norte,1460.0,3,70
norte,8500.0,4,320
norte,1500.0,2,61
norte,2050.0,2,62
norte,6500.0,2,90
norte,1010.0,1,60
norte,1700.0,2,50
norte,3500.0,1,48
norte,900000.0,1,45
norte,865000.0,1,22
norte,1550.0,2,51
norte,1550.0,2,37
norte,1870.0,2,54
norte,3500.0,4,143
norte,1268.0,2,62
norte,1000.0,2,50
norte,1100.0,1,70
norte,1050.0,1,25
norte,1800.0,3,200
norte,950000.0,1,20
norte,1650.0,3,62
norte,1100.0,1,45
norte,950000.0,1,38
norte,1162.0,1,70
norte,950000.0,1,20
norte,2200.0,2,110
norte,1800.0,2,45
norte,1050.0,1,25
norte,1500.0,1,38
norte,1339.0,1,62
norte,7500.0,,500
norte,7500.0,,300
norte,850000.0,2,70
norte,700000.0,1,160
norte,600000.0,1,70
norte,720000.0,1,40
norte,2000.0,5,150
norte,820000.0,1,50
norte,1000.0,1,90
norte,1200.0,2,75
norte,800000.0,1,10
norte,590000.0,1,30
norte,20000.0,,1000
norte,950000.0,1,55
norte,115000.0,,7800
norte,1240.0,2,50
norte,95000.0,,4728
norte,1310.0,3,97
norte,1500.0,2,56
norte,1300.0,2,54
norte,750000.0,1,38
norte,900000.0,1,49
norte,1300.0,2,50
norte,1850.0,3,102
norte,1400.0,2,50
norte,1280.0,2,50
norte,750000.0,1,40
norte,2000.0,1,28
norte,1550.0,3,72
norte,1200.0,2,65
norte,1000.0,2,50
norte,1080.0,3,63
norte,7900.0,5,248
norte,2080.0,3,105
norte,1810.0,3,60
norte,1500.0,2,47
norte,1600.0,2,70
norte,800000.0,1,38
norte,1300.0,1,56
norte,1450.0,2,52
norte,840000.0,1,45
norte,2200.0,1,42
norte,1095.0,3,78
norte,1500.0,2,85
norte,940000.0,1,48
norte,870000.0,1,60
norte,1269.0,2,72
norte,1150.0,2,58
norte,7200.0,3,440
norte,950000.0,1,80
norte,2800.0,1,90
norte,2660.0,2,68
norte,2270.0,3,67
norte,1900.0,2,68
norte,2897.0,3,122
norte,1030.0,1,50
norte,1740.0,2,70
norte,4030.0000000000005,5,480
norte,1670.0,3,68
norte,2100.0,2,65
norte,7280.0,4,250
norte,1900.0,3,65
norte,1210.0,1,32
norte,1220.0,1,30
norte,1700.0,2,63
norte,2400.0,1,49
norte,2500.0,2,300
norte,1300.0,2,74
norte,1790.0,3,66
norte,1070.0,2,35
norte,1340.0,2,52
norte,26300.0,,1150
norte,3000.0,3,120
norte,3300.0,3,200
norte,1350.0,2,55
norte,2660.0,3,100
norte,2650.0,2,70
norte,6450.0,3,350
norte,1200.0,3,55
norte,3100.0,2,54
norte,1210.0,1,32
norte,6500.0,3,240
norte,1360.0,1,32
norte,15000.0,3,330
norte,1470.0,2,65
norte,4590.0,4,350
norte,2060.0,2,54
norte,4400.0,2,115
norte,2910.0,3,140
norte,2600.0,3,96
norte,2460.0,1,35
norte,2200.0,2,55
norte,7000.0,4,500
norte,1330.0,3,94
norte,1280.0,2,50
norte,1700.0,2,43
norte,1210.0,1,32
norte,1310.0,1,32
norte,1360.0,1,32
norte,1360.0,1,32
norte,1360.0,1,32
norte,1360.0,1,32
norte,3000.0,2,65
norte,1830.0,3,65
norte,2600.0,1,45
norte,1690.0,2,72
norte,2800.0,2,90
norte,2500.0,2,45
norte,5800.0,3,146
norte,1970.0,2,100
norte,1840.0,2,69
norte,2200.0,1,33
norte,1600.0,1,45
norte,1620.0,1,20
norte,1480.0,2,56
norte,1320.0,1,42
norte,1600.0,2,55
norte,1200.0,1,39
norte,2150.0,2,76
norte,7500.0,,100
norte,600000.0,1,20
norte,950000.0,1,34
norte,1740.0,3,80
norte,1140.0,1,35
norte,1164.0,1,45
norte,950000.0,1,45
norte,1300.0,1,60
norte,600000.0,1,35
norte,1400.0,2,67
norte,1390.0,2,63
norte,1200.0,1,47
norte,1050.0,1,30
norte,1100.0,1,20
norte,1000.0,2,48
norte,2000.0,2,52
norte,850000.0,1,40
norte,1110.0,1,60
norte,1300.0,1,25
norte,890000.0,2,100
norte,5800.0,,640
norte,7500.0,,150
norte,1100.0,1,27
norte,950000.0,1,25
norte,1000.0,2,47
norte,1000.0,1,45
norte,1280.0,2,57
sul,1400.0,2,70
sul,2000.0,2,40
sul,1100.0,1,31
sul,2350.0,1,38
sul,2700.0,1,46
sul,7500.0,3,430
sul,7500.0,4,158
sul,1500.0,3,70
sul,1243.0,1,50
sul,7500.0,2,84
sul,1650.0,3,66
sul,1490.0,2,59
sul,1750.0,2,82
sul,3880.0,3,200
sul,2350.0,2,80
sul,3000.0,1,44
sul,3200.0,3,120
sul,1750.0,2,150
sul,2000.0,2,47
sul,1450.0,2,45
sul,1750.0,1,55
sul,2700.0,2,90
sul,2805.0,3,71
sul,1124.0,2,50
sul,2000.0,3,116
sul,1140.0,2,50
sul,2000.0,2,74
sul,5500.0,3,117
sul,1500.0,2,100
sul,1140.0,2,56
sul,1100.0,2,48
sul,3190.0,1,48
sul,2145.0,4,126
sul,1930.0,2,63
sul,4070.0000000000005,4,244
sul,1931.0,2,82
sul,1100.0,1,33
sul,2500.0,2,50
sul,2000.0,1,48
sul,2160.0,2,74
sul,2800.0,2,50
sul,1470.0,2,48
sul,1830.0,2,56
sul,2400.0,1,54
sul,4400.0,1,49
sul,4730.0,2,79
sul,2800.0,3,65
sul,1520.0,1,35
sul,2420.0,1,45
sul,4000.0,3,200
sul,1250.0,2,60
sul,2680.0,3,200
sul,1500.0,2,90
sul,2750.0,2,64
sul,3200.0,2,67
sul,2240.0,2,57
sul,1430.0,2,53
sul,4000.0,1,30
sul,1658.0,1,56
sul,6000.0,3,125
sul,1450.0,1,17
sul,2390.0,1,30
sul,3800.0,2,95
sul,3180.0,2,65
sul,2581.0,1,43
sul,1200.0,2,62
sul,2200.0,4,150
sul,3300.0,3,123
sul,3400.0,2,55
sul,2267.0,1,53
sul,4500.0,3,150
sul,3300.0,1,47
sul,2324.0,3,84
sul,2900.0,3,100
sul,5445.0,3,100
sul,3300.0,2,80
sul,2200.0,2,52
sul,1980.0,1,40
sul,2500.0,1,34
sul,1640.0,1,27
sul,3300.0,2,70
sul,2950.0,1,35
sul,2200.0,2,76
sul,4000.0,1,45
sul,3500.0,3,105
sul,1900.0,2,58
sul,2201.0,5,273
sul,1716.0,3,69
sul,2750.0,3,72
sul,3750.0,2,95
sul,7400.0,3,250
sul,1800.0,2,80
sul,3000.0,1,57
sul,1700.0,2,70
sul,3500.0,1,45
sul,1280.0,1,65
sul,1950.0,2,49
sul,4900.0,3,300
sul,2950.0,1,54
sul,2800.0,3,121
sul,12000.0,3,280
sul,12500.0,5,424
sul,4370.0,4,190
sul,2125.0,2,73
sul,3500.0,2,110
sul,3000.0,3,72
sul,3200.0,2,88
sul,8250.0,3,150
sul,1256.0,1,15
sul,2500.0,1,35
sul,2800.0,1,35
sul,2130.0,3,65
sul,2325.0,1,38
sul,4000.0,2,72
sul,2050.0,2,75
sul,4290.0,3,109
sul,1810.0,3,72
sul,2080.0,1,38
sul,4700.0,3,155
sul,3400.0,3,73
sul,1800.0,3,72
sul,3800.0,3,147
sul,3190.0,1,27
sul,1300.0,3,73
sul,12683.0,5,700
sul,1400.0,2,60
sul,1705.0,2,99
sul,3300.0,3,200
sul,2950.0,2,150
sul,3000.0,4,200
sul,1760.0,2,90
sul,4950.0,5,235
sul,1867.0,2,54
sul,3900.0,3,126
sul,1350.0,2,62
sul,3100.0,1,33
sul,1210.0,2,50
sul,3500.0,3,73
sul,3500.0,1,33
sul,8000.0,3,180
sul,2200.0,1,33
sul,5900.0,3,137
sul,2800.0,2,106
sul,2500.0,1,39
sul,3255.0,3,167
sul,2000.0,3,96
sul,2570.0,2,75
sul,3850.0,3,92
sul,2200.0,1,37
sul,2500.0,2,98
sul,6600.0,4,400
sul,2750.0,2,85
sul,5600.0,3,84
sul,4400.0,5,200
sul,2860.0,3,95
sul,8250.0,3,170
sul,2700.0,3,64
sul,1600.0,3,72
sul,13200.0,3,229
sul,2300.0,3,61
sul,2200.0,3,100
sul,4510.0,3,165
sul,2530.0,3,93
sul,6600.0,3,130
sul,2700.0,2,75
sul,3200.0,3,116
sul,2400.0,3,70
sul,3200.0,1,53
sul,3600.0,2,70
sul,4070.0000000000005,3,168
sul,3850.0,1,40
sul,3300.0,1,45
sul,3200.0,1,50
sul,6900.0,3,140
sul,3300.0,4,126
sul,2200.0,2,56
sul,4000.0,3,105
sul,11550.0,3,148
sul,3800.0,2,77
sul,2900.0,3,82
sul,6300.0,3,137
sul,2750.0,3,168
sul,3080.0,3,84
sul,3500.0,3,180
sul,2420.0,3,80
sul,4000.0,3,82
sul,2600.0,3,90
sul,11500.0,3,165
sul,1800.0,3,71
sul,3410.0,3,200
sul,3300.0,3,97
sul,1800.0,2,80
sul,2300.0,2,56
sul,2300.0,1,45
sul,1997.0,2,54
sul,4400.0,2,92
sul,3080.0,1,28
sul,2100.0,1,35
sul,3200.0,1,40
sul,2750.0,2,63
sul,5500.0,2,81
sul,2200.0,2,100
sul,2581.0,2,65
sul,5000.0,2,92
sul,2400.0,2,85
sul,4500.0,2,80
sul,4400.0,1,48
sul,4400.0,3,69
sul,2860.0,3,110
sul,2893.0,3,300
sul,2000.0,1,37
sul,5500.0,1,67
sul,4950.0,3,70
sul,4000.0,3,165
sul,2480.0,1,45
sul,3500.0,2,75
sul,2500.0,3,125
sul,3500.0,2,74
sul,9000.0,4,249
sul,3000.0,3,100
sul,1950.0,2,63
sul,1800.0,1,44
sul,4600.0,3,101
sul,6104.0,3,127
sul,2500.0,2,50
sul,2200.0,2,70
sul,3000.0,4,290
sul,2700.0,1,35
sul,4500.0,3,100
sul,3300.0,1,48
sul,7700.0,4,375
sul,3300.0,4,120
sul,4500.0,3,112
sul,4000.0,2,98
sul,5300.0,3,98
sul,5310.0,3,200
sul,3900.0,3,110
sul,2330.0,3,72
sul,2000.0,2,51
sul,1850.0,2,74
sul,4000.0,3,100
sul,5500.0,3,450
sul,2600.0,2,62
sul,3850.0,2,74
sul,3280.0,3,215
sul,2200.0,2,56
sul,3700.0,2,85
sul,5000.0,1,98
sul,2860.0,1,45
sul,1810.0,2,68
sul,2350.0,2,75
sul,5100.0,2,70
sul,2220.0,3,82
sul,2300.0,1,42
sul,3600.0,5,600
sul,4000.0,2,70
sul,4200.0,4,188
sul,7470.0,3,100
sul,4100.0,4,478
sul,7500.0,4,190
sul,2389.0,3,74
sul,4900.0,2,82
sul,3500.0,1,40
sul,4000.0,3,150
sul,4200.0,2,37
sul,4800.0,3,110
sul,3300.0,3,150
sul,4000.0,2,64
sul,2600.0,2,68
sul,3400.0,2,99
sul,2100.0,2,67
sul,5780.0,4,223
sul,4300.0,1,70
sul,2660.0,3,80
sul,3700.0,2,70
sul,8700.0,3,142
sul,2200.0,1,42
sul,3750.0,3,100
sul,3750.0,3,150
sul,3889.0,2,100
sul,2130.0,2,50
sul,2000.0,2,80
sul,3700.0,3,200
sul,4230.0,3,90
sul,5500.0,2,105
sul,1700.0,2,45
sul,3190.0,2,58
sul,3800.0,2,67
leste,650000.0,1,24
leste,1700.0,2,80
leste,1100.0,2,42
leste,2530.0,2,120
leste,700000.0,1,100
leste,1400.0,3,85
leste,1200.0,2,50
leste,1100.0,1,27
leste,660000.0,1,45
leste,750000.0,1,26
leste,1000.0,1,70
leste,7500.0,,300
leste,800000.0,1,40
leste,1150.0,3,73
