zona,precos,quartos,areas
leste,1300.0,3,60
leste,1550.0,1,30
leste,1100.0,1,64
leste,1370.0,2,78
leste,2200.0,3,124
leste,4500.0,3,250
leste,1100.0,2,60
leste,1200.0,2,43
leste,1100.0,2,48
leste,1900.0,2,56
leste,1210.0,1,35
leste,2000.0,3,108
leste,1000.0,2,70
leste,970000.0,1,62
leste,1280.0,2,57
leste,1485.0,2,75
leste,1000.0,3,70
leste,3300.0,3,82
leste,850000.0,2,60
leste,1275.0,2,60
leste,600000.0,1,45
leste,2100.0,2,60
leste,2100.0,3,72
leste,1700.0,2,55
leste,1200.0,1,35
leste,900000.0,2,70
leste,1800.0,2,90
leste,2970.0,3,68
leste,3400.0,3,80
leste,1200.0,2,70
leste,2100.0,3,150
leste,1980.0,2,100
leste,1350.0,2,70
leste,999000.0,2,70
leste,2200.0,2,66
leste,1500.0,3,80
leste,4500.0,3,202
leste,1200.0,3,56
leste,1800.0,2,65
leste,1500.0,3,80
leste,1300.0,2,63
leste,2000.0,2,100
leste,2200.0,2,100
leste,1500.0,2,6000
leste,2200.0,2,56
leste,1390.0,2,55
leste,2769.0,2,108
leste,1600.0,3,100
leste,1500.0,2,150
leste,1100.0,2,45
leste,1700.0,2,60
leste,3800.0,5,298
leste,5500.0,3,350
leste,3100.0,2,104
leste,1400.0,2,56
leste,900000.0,1,40
leste,1910.0,2,82
leste,3720.0,3,194
leste,3500.0,2,260
leste,2300.0,3,74
leste,1000.0,1,30
leste,2640.0,2,79
leste,1296.0,2,45
leste,2197.0,2,115
leste,2150.0,2,52
leste,2200.0,3,91
leste,1392.0,1,43
leste,2420.0,3,59
leste,1540.0,2,48
leste,2750.0,3,145
leste,2526.0,4,160
leste,3080.0,3,136
leste,7000.0,3,141
leste,994000.0,2,70
leste,1250.0,1,38
leste,2750.0,3,110
leste,3616.0,4,261
leste,1430.0,2,45
leste,3300.0,3,110
leste,2000.0,2,65
leste,2090.0,1,30
leste,1700.0,1,45
leste,1850.0,2,82
leste,3200.0,2,72
leste,8000.0,3,210
leste,3630.0,3,170
leste,2500.0,2,58
leste,1000.0,2,64
leste,2800.0,3,70
leste,3300.0,2,50
leste,2200.0,2,41
leste,1200.0,2,56
leste,1275.0,2,60
leste,1700.0,2,46
leste,2200.0,2,50
leste,1760.0,2,61
leste,1760.0,2,61
leste,1250.0,1,40
leste,2860.0,2,80
leste,2400.0,2,130
leste,1233.0,2,64
leste,3000.0,2,90
leste,800000.0,2,64
leste,1870.0,2,92
leste,1430.0,1,35
leste,1210.0,1,35
leste,2970.0,3,115
leste,1650.0,2,80
leste,1100.0,2,45
leste,2420.0,2,53
leste,2080.0,1,50
leste,1950.0,3,153
leste,1000.0,2,52
leste,3462.0,3,170
leste,2200.0,3,140
leste,2660.0,3,200
leste,2100.0,2,70
leste,1200.0,1,33
leste,1435.0,2,65
leste,1540.0,1,100
leste,1000.0,2,70
leste,1435.0,2,65
leste,1435.0,2,65
leste,2100.0,2,70
leste,1400.0,1,28
leste,1440.0,2,50
leste,1655.0,2,45
leste,2800.0,2,120
leste,2400.0,1,37
leste,2200.0,2,80
leste,2090.0,2,55
leste,1850.0,2,55
leste,5500.0,4,340
leste,1920.0,3,250
leste,4000.0,2,180
leste,4500.0,2,202
leste,3100.0,2,71
leste,2020.0,2,57
leste,1200.0,2,44
leste,1600.0,2,48
leste,4800.0,3,303
leste,900000.0,2,40
leste,2735.0,2,65
leste,900000.0,1,40
leste,2250.0,1,45
leste,1540.0,2,70
leste,1450.0,1,32
leste,2600.0,3,67
leste,5100.0,3,126
leste,1200.0,1,50
leste,1397.0,1,70
leste,1300.0,1,53
leste,1350.0,1,26
leste,1700.0,1,56
leste,880000.0,2,
leste,1700.0,2,62
leste,980000.0,2,47
leste,1160.0,2,48
leste,912000.0,2,60
leste,2400.0,3,67
leste,2330.0,3,90
leste,850000.0,1,40
leste,960000.0,2,65
leste,1350.0,2,40
leste,1591.0,2,60
leste,4000.0,2,90
leste,2890.0,2,52
leste,1002.9999999999999,1,33
leste,900000.0,1,45
leste,900000.0,1,40
leste,1200.0,1,50
leste,900000.0,1,45
leste,1120.0,2,35
leste,1800.0,1,142
leste,990000.0,1,32
leste,750000.0,1,
leste,299000.0,1,6
leste,1197.0,1,18
leste,1000.0,2,45
leste,1600.0,3,158
leste,1000.0,1,56
leste,299000.0,1,6
leste,3000.0,,262
leste,980000.0,1,42
leste,8000.0,,78
leste,1000.0,1,45
leste,3000.0,3,240
leste,16800.0,,1500
leste,2200.0,3,75
leste,8500.0,,420
leste,13000.0,,1200
leste,2100.0,2,80
leste,1550.0,3,63
leste,1500.0,3,70
leste,9000.0,,530
leste,55000.0,,2600
leste,2900.0,,40
leste,1069.0,2,60
leste,450000.0,,180
leste,6000.0,,300
leste,18000.0,,1300
leste,4950.0,3,210
leste,12000.0,,900
leste,7000.0,,520
leste,1200.0,,38
leste,15000.0,,1320
leste,1300.0,2,47
leste,2000.0,2,47
leste,10000.0,,400
leste,2750.0,,40
leste,2500.0,3,147
leste,1600.0,2,108
leste,1600.0,3,60
leste,3500.0,2,77
leste,15000.0,,1000
leste,1500.0,2,60
leste,6900.0,,350
leste,13000.0,,291
leste,1600.0,,70
leste,7500.0,1,300
leste,1400.0,2,50
leste,7500.0,3,275
leste,20000.0,,1600
leste,30000.0,,693
leste,7800.0,2,292
leste,1280.0,2,65
leste,7850.0,3,400
leste,1600.0,1,42
leste,13000.0,,528
leste,7500.0,,240
leste,7800.0,,400
leste,7900.0,,600
leste,12000.0,,242
leste,1000.0,2,50
leste,600000.0,1,35
leste,640000.0,1,40
leste,1100.0,1,30
leste,600000.0,1,45
leste,2300.0,3,115
leste,7800.0,,600
leste,7900.0,,600
leste,1530.0,2,60
leste,1000.0,2,51
leste,500000.0,1,50
leste,1450.0,2,50
leste,7900.0,,270
leste,1220.0,2,400
leste,1200.0,1,32
leste,970000.0,1,60
leste,1032.0,2,72
leste,1100.0,1,28
leste,1200.0,1,31
leste,1100.0,1,100
leste,840000.0,1,42
leste,10000.0,,532
leste,1350.0,2,52
leste,1600.0,2,49
leste,1100.0,2,49
leste,1180.0,2,56
leste,1350.0,2,50
leste,1800.0,2,67
leste,930000.0,1,45
leste,1320.0,2,55
leste,3120.0,3,170
leste,4690.0,3,300
leste,1200.0,2,58
leste,950000.0,2,68
leste,1200.0,2,40
leste,1000.0,1,45
leste,1100.0,1,32
leste,1200.0,2,74
leste,770000.0,1,30
leste,1200.0,1,80
leste,1700.0,2,95
oeste,1100.0,2,40
oeste,750000.0,1,30
oeste,2000.0,2,77
oeste,7500.0,4,215
oeste,7500.0,3,167
oeste,1450.0,1,60
oeste,1250.0,1,20
oeste,1440.0,2,50
oeste,2200.0,2,55
oeste,2250.0,1,34
oeste,1100.0,2,50
oeste,3600.0,3,110
oeste,2400.0,2,55
oeste,2800.0,2,69
oeste,2100.0,2,65
oeste,1500.0,2,90
oeste,1810.0,1,50
oeste,2800.0,1,34
oeste,3550.0,1,93
oeste,2300.0,1,98
oeste,2980.0,2,70
oeste,3000.0,3,138
oeste,2800.0,1,85
oeste,3000.0,3,79
oeste,1760.0,2,53
oeste,5700.0,2,85
oeste,3300.0,4,180
oeste,2800.0,1,31
oeste,1900.0,2,56
oeste,3500.0,2,96
oeste,5500.0,3,136
oeste,1900.0,2,78
oeste,2344.0,1,90
oeste,3300.0,2,94
oeste,1650.0,3,63
oeste,3300.0,3,106
oeste,3040.0,1,43
oeste,2570.0,3,64
oeste,2200.0,2,70
oeste,1347.0,2,50
oeste,4300.0,2,120
oeste,2950.0,2,127
oeste,2200.0,3,64
oeste,6950.0,3,150
oeste,1400.0,2,55
oeste,2350.0,3,75
oeste,2430.0,3,85
oeste,1864.0,2,98
oeste,2700.0,2,75
oeste,4580.0,3,95
oeste,6500.0,1,112
oeste,4800.0,2,125
oeste,1800.0,1,31
oeste,9560.0,3,330
oeste,2500.0,3,74
oeste,2100.0,3,62
oeste,4400.0,3,179
oeste,1620.0,3,110
oeste,1900.0,2,90
oeste,4500.0,2,63
oeste,6000.0,2,130
oeste,5740.0,3,270
oeste,3520.0,3,321
oeste,3500.0,3,62
oeste,3220.0,3,115
oeste,1600.0,2,68
oeste,2700.0,2,100
oeste,3200.0,3,120
oeste,5500.0,2,95
oeste,15000.0,4,450
oeste,1500.0,2,34
oeste,4200.0,3,184
oeste,1100.0,2,57
oeste,3900.0,1,37
oeste,5500.0,3,92
oeste,2200.0,2,53
oeste,3329.0,3,170
oeste,3900.0,3,103
oeste,6050.0,4,391
oeste,7500.0,4,208
oeste,3500.0,3,91
oeste,4300.0,3,130
oeste,2200.0,3,60
oeste,3000.0,3,157
oeste,2500.0,3,91
oeste,4147.0,3,91
oeste,4250.0,2,56
oeste,3300.0,2,65
oeste,3025.0,1,70
oeste,2074.0,2,50
oeste,3025.0,2,67
oeste,2420.0,2,56
oeste,2530.0,1,25
oeste,1400.0,1,30
oeste,2200.0,2,50
oeste,1320.0,2,68
oeste,1430.0,2,75
oeste,1600.0,2,68
oeste,2970.0,2,68
oeste,4620.0,5,250
oeste,4950.0,3,100
oeste,2497.0,2,54
oeste,2750.0,3,70
oeste,1600.0,1,30
oeste,3300.0,3,142
oeste,1500.0,2,58
oeste,2730.0,3,64
oeste,5400.0,3,119
oeste,5347.0,1,125
oeste,7300.0,3,160
oeste,7200.0,2,90
oeste,3535.0,1,51
oeste,1600.0,2,50
oeste,5000.0,3,209
oeste,1990.0,3,70
oeste,3450.0,3,79
oeste,4700.0,3,93
oeste,2660.0,2,73
oeste,7000.0,3,110
oeste,4400.0,2,66
oeste,2500.0,1,39
oeste,2000.0,1,65
oeste,4000.0,2,70
oeste,1900.0,2,46
oeste,3750.0,1,41
oeste,1512.0,1,29
oeste,2700.0,2,68
oeste,1800.0,1,42
oeste,1680.0,1,42
oeste,2420.0,2,75
oeste,3245.0,1,28
oeste,1300.0,1,37
oeste,4796.0,2,74
oeste,1750.0,1,50
oeste,4500.0,2,114
oeste,8300.0,4,170
oeste,2000.0,2,46
oeste,2560.0,2,78
oeste,2800.0,2,62
oeste,6000.0,4,300
oeste,12500.0,4,207
oeste,4300.0,2,57
oeste,5000.0,1,74
oeste,2300.0,1,45
oeste,4540.0,1,56
oeste,2300.0,1,45
oeste,4300.0,2,74
oeste,1769.0,2,87
oeste,4500.0,2,67
oeste,2100.0,3,60
oeste,3190.0,2,74
oeste,2400.0,2,140
oeste,9500.0,2,121
oeste,3500.0,3,88
oeste,3880.0,4,141
oeste,6200.0,4,300
oeste,3190.0,3,68
oeste,3400.0,2,80
oeste,7000.0,3,190
oeste,4900.0,2,125
oeste,7500.0,2,70
oeste,4700.0,3,120
oeste,1700.0,2,44
oeste,2640.0,2,70
oeste,10630.0,4,380
oeste,2600.0,1,34
oeste,2500.0,1,24
oeste,1870.0,4,140
oeste,3980.0,4,103
oeste,2800.0,3,150
oeste,15000.0,3,330
oeste,1920.0,2,150
oeste,7200.0,2,98
oeste,9000.0,3,450
oeste,3280.0,3,142
oeste,2500.0,2,70
oeste,1500.0,2,40
oeste,2800.0,1,34
oeste,3643.0,1,40
oeste,2400.0,2,50
oeste,4200.0,1,40
oeste,1700.0,4,105
oeste,2650.0,3,125
oeste,4600.0,1,35
oeste,10140.0,4,130
oeste,3300.0,3,85
oeste,2000.0,2,53
oeste,3400.0,3,91
oeste,2529.0,2,80
oeste,2990.0,2,50
oeste,6380.0,3,178
oeste,2679.0,3,74
oeste,15000.0,5,300
oeste,13000.0,4,500
oeste,4800.0,2,110
oeste,2350.0,2,68
oeste,2200.0,3,68
oeste,8000.0,3,180
oeste,2800.0,1,34
oeste,2100.0,1,37
oeste,4000.0,5,250
oeste,8000.0,4,196
oeste,3620.0,3,255
oeste,3300.0,3,85
oeste,3000.0,1,50
oeste,1650.0,2,35
oeste,7500.0,2,235
oeste,2000.0,2,57
oeste,2385.0,3,130
oeste,2000.0,2,50
oeste,3230.0,2,77
oeste,1540.0,2,87
oeste,1800.0,2,34
oeste,1320.0,1,37
oeste,4600.0,2,60
oeste,1280.0,2,55
oeste,7500.0,3,198
oeste,11900.0,3,230
oeste,2250.0,1,50
oeste,1250.0,1,54
oeste,850000.0,1,15
oeste,4700.0,2,78
oeste,1200.0,1,45
oeste,900000.0,1,30
oeste,2200.0,1,45
oeste,1900.0,1,60
oeste,900000.0,2,50
oeste,6500.0,3,106
oeste,2029.0,2,84
oeste,1500.0,1,40
oeste,1885.0,2,50
oeste,1953.0,2,49
oeste,1857.0,1,30
oeste,3500.0,2,47
oeste,1700.0,1,31
oeste,4040.0,2,51
oeste,7500.0,,330
oeste,950000.0,1,42
oeste,2399.0,2,90
oeste,1399.0,2,48
oeste,1500.0,3,75
oeste,1500.0,3,75
oeste,850000.0,1,15
oeste,5900.0,,294
oeste,2700.0,3,63
oeste,1500.0,2,92
oeste,1700.0,2,65
oeste,1000.0,1,42
oeste,7500.0,3,274
oeste,7500.0,,230
oeste,4000.0,1,
oeste,7500.0,,240
oeste,8700.0,3,178
oeste,7500.0,1,108
oeste,8000.0,4,298
oeste,7500.0,4,260
oeste,7500.0,4,145
oeste,1500.0,2,89
oeste,880000.0,1,15
oeste,2600.0,1,34
oeste,1440.0,3,203
oeste,1750.0,3,60
oeste,7500.0,3,172
oeste,650000.0,1,22
oeste,1260.0,1,49
oeste,1650.0,1,25
oeste,8000.0,,1055
oeste,1926.0,3,106
oeste,1340.0,2,55
oeste,2750.0,1,31
oeste,1380.0,3,64
oeste,1200.0,2,52
oeste,2300.0,2,69
oeste,1700.0,3,70
oeste,7500.0,3,178
oeste,1700.0,3,60
oeste,7470.0,3,290
oeste,2000.0,2,230
oeste,2350.0,3,140
oeste,3500.0,2,56
oeste,3700.0,2,84
oeste,3500.0,3,130
oeste,2500.0,4,145
oeste,2900.0,2,85
oeste,1400.0,2,44
oeste,1750.0,3,60
oeste,2200.0,1,35
oeste,1500.0,1,28
